words
ingenio
curiosidad
curiosidad
lógica
logica
sistemática
ingenio
tecnico
técnico
precisa
precisa
verificable
reproducible
reproducible
universal
universal
universal
curiosidad
curiosidad
tecnico
curiosidad
beneficiosa
productiva
lenta
lenta
descubrimiento
biología
biologia
mujeres
mujeres
mujer
